objectid,cl,logradouro,codbairro,bairro,total_transações,uso,média_percentual_transferido,média_área_terreno,média_valor_transação,média_valor_imóvel,principal_transação_mercado,ano_transação,source
1331359,104182,RUA DES PAULO ALONSO,132,Recreio dos Bandeirantes  ,8,TERRITORIAL,5.225,660.0,26460.905,506413.0,PROMESSA DE COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331360,088484,RUA SAO LEOBALDO,031,São Conrado               ,2,TERRITORIAL,100.0,510.5,500000.0,500000.0,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331361,106831,RUA PROF COSTA RIBEIRO,049,Jardim América            ,2,TERRITORIAL,100.0,219.0,93887.845,93887.845,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331362,117838,RUA HEITOR SERVAN,069,Piedade                   ,2,TERRITORIAL,100.0,360.0,81050.23,81050.23,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331363,015933,RUA CANDIDO BENICIO,078,Campinho                  ,2,TERRITORIAL,66.5,122.5,26674.45,52614.31,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331364,025817,ETR INTEND MAGALHAES,083,Madureira                 ,2,TERRITORIAL,89.175,3086.0,1514179.67,1891568.525,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331365,126516,RUA SALETE,153,Pedra de Guaratiba        ,2,TERRITORIAL,100.0,300.0,60739.105,60739.105,COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331366,134908,AVN LITORANEA PAL 18529,153,Pedra de Guaratiba        ,2,TERRITORIAL,100.0,273.5,35236.275,35236.275,COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331367,107409,RUA MINIST PINTO DA LUZ,047,Parada de Lucas,4,TERRITORIAL,25.0,2783.0,86483.89,345935.56,PROMESSA DE COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331368,204198,RUA JOSE PAULINO PEREIRA,127,Itanhangá                 ,2,TERRITORIAL,100.0,4741.0,268999.99,268999.99,PROMESSA DE COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331369,120469,AVN PREF DULCIDIO CARDOSO,128,Barra da Tijuca           ,2,TERRITORIAL,76.0,9977.0,17607866.925,18126513.32,PROMESSA DE COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331370,108605,RUA RIO DE CONTAS,144,Campo Grande,6,TERRITORIAL,100.0,365.0,20478.873333,20478.873333,PROMESSA DE COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331371,225433,RUA ROBERTO MARTINS,151,Guaratiba                 ,2,TERRITORIAL,100.0,623.5,31227.155,31227.155,PROMESSA DE COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331372,095356,RUA PROF OLINTO DE OLIVEIRA,014,Santa Teresa              ,2,TERRITORIAL,100.0,804.5,471500.005,471500.005,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331373,085910,RUA CAMPO BELO,017,Laranjeiras               ,2,TERRITORIAL,100.0,399.5,507500.0,507500.0,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331374,067520,ETR DA CANOA,031,São Conrado               ,5,TERRITORIAL,82.83,1263.2,370000.0,928176.678,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331375,088500,RUA 4 CIA INTER AMERICANA,031,São Conrado               ,3,TERRITORIAL,100.0,697.666666,276666.66,276666.66,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331376,107409,RUA MINIST PINTO DA LUZ,047,Parada de Lucas,2,TERRITORIAL,50.0,2783.0,287662.11,575324.225,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331377,072736,RUA GETULIO,065,Cachambi                  ,2,TERRITORIAL,100.0,1848.0,519609.09,519609.09,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331378,204909,RUA BRAVO,072,Vila Kosmos               ,2,TERRITORIAL,100.0,144.5,56901.54,56901.54,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331379,024240,RUA GUARANI,079,Quintino Bocaiúva         ,3,TERRITORIAL,100.0,86.666666,38687.86,38687.86,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331380,016642,RUA CAROLINA MACHADO,083,Madureira                 ,7,TERRITORIAL,100.0,190.714285,337462.462857,337462.462857,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331381,030429,AVN MINIST EDGARD ROMERO,083,Madureira                 ,2,TERRITORIAL,50.125,268.0,190229.665,500272.615,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331382,095026,RUA GREGORIO DE CASTRO MORAES,099,Jardim Guanabara          ,2,TERRITORIAL,100.0,523.0,320087.385,320087.385,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331383,049049,ETR DA LIGACAO,115,Jacarepaguá               ,5,TERRITORIAL,40.57,1866.0,322129.022,1067533.078,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331384,122580,RUA ORIENTE NOVO,115,Jacarepaguá               ,2,TERRITORIAL,100.0,525.0,541403.65,541403.65,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331385,137505,RUA BERTRAND RUSSEL,115,Jacarepaguá               ,2,TERRITORIAL,100.0,330.0,278456.605,278456.605,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331386,149831,AVN ALMTE SYLVIO FIGUEIREDO,115,Jacarepaguá               ,3,TERRITORIAL,100.0,628.0,1029621.7,1029621.7,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331387,160028,RUA PROFA SYLVIA BARBOSA,115,Jacarepaguá               ,6,TERRITORIAL,100.0,600.0,945227.466666,945227.466666,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331388,110684,RUA O TEMPO E O VENTO,116,Anil                      ,2,TERRITORIAL,75.0,386.5,131954.375,171993.305,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331389,110692,RUA DONA FLOR,116,Anil                      ,2,TERRITORIAL,50.0,360.0,75963.19,151926.38,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331390,114918,RUA MANICARIA,119,Curicica                  ,3,TERRITORIAL,100.0,360.0,202871.11,202871.11,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331391,143313,RUA SERICITA,120,Freguesia (Jacarepaguá)   ,5,TERRITORIAL,100.0,190.4,247787.658,247787.658,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331392,145490,RUA LUIZ SEVERIANO RIBEIRO,120,Freguesia (Jacarepaguá)   ,2,TERRITORIAL,100.0,619.5,551013.255,551013.255,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331393,015354,ETR CAFUNDA,122,Taquara                   ,10,TERRITORIAL,10.479,26196.1,32651.092,1008350.038,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331394,165589,RUA ADALGISA NERY,122,Taquara                   ,4,TERRITORIAL,77.5,635.5,176779.5375,251735.5875,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331395,049023,RUA JORDAO,123,Tanque                    ,2,TERRITORIAL,1.85,7255.0,6171.445,333591.62,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331396,207407,RUA PROFA CARMEN AGUIAR DE MATTOS,123,Tanque                    ,3,TERRITORIAL,100.0,257.0,110701.293333,110701.293333,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331397,137539,VIA SERV 1 PAL 26926,130,Vargem Pequena            ,3,TERRITORIAL,67.52,10010.0,733801.623333,10344964.133333,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331398,197475,RUA FROTA AGUIAR FILHO,130,Vargem Pequena            ,3,TERRITORIAL,86.666666,1216.666666,92834.666666,112708.52,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331399,009597,RUA JOSE LEITE LOPES,131,Vargem Grande             ,3,TERRITORIAL,23.523333,10000.0,100869.853333,438236.786666,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331400,009605,VIA SERV 5 PAL 20489,131,Vargem Grande             ,14,TERRITORIAL,1.787142,9978.5,32744.825,1794217.810714,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331401,031690,ETR DO MORGADO,131,Vargem Grande             ,3,TERRITORIAL,0.456666,67202.0,2566.883333,637812.773333,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331402,095497,ETR VEREAD ALCEU DE CARVALHO,131,Vargem Grande             ,5,TERRITORIAL,22.89,6626.6,86012.746,1556031.9,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331403,095471,AVN DAS AMERICAS,132,Recreio dos Bandeirantes  ,4,TERRITORIAL,87.5,4293.75,9458690.31,11458690.31,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331404,101295,SRV PAS 2 PAL 19170,132,Recreio dos Bandeirantes  ,3,TERRITORIAL,57.45,12045.666666,6750666.666666,11927408.513333,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331405,101311,RUA WILFRED PENHA BORGES (ARMADOR),132,Recreio dos Bandeirantes  ,4,TERRITORIAL,51.6225,10955.25,5279924.66,6172177.5,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331406,103549,RUA GUILHERME BAPTISTA,132,Recreio dos Bandeirantes  ,2,TERRITORIAL,100.0,575.0,1561200.835,1561200.835,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331407,104232,RUA SERGIO BRANCO SOARES,132,Recreio dos Bandeirantes  ,3,TERRITORIAL,67.526666,725.333333,1108162.003333,1566633.826666,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331408,104513,RUA MARIO FAUSTINO,132,Recreio dos Bandeirantes  ,3,TERRITORIAL,59.0,672.0,2533333.333333,11763184.106666,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331409,159392,RUA ORLANDO MADEIRA DE LEY,132,Recreio dos Bandeirantes  ,2,TERRITORIAL,50.0,630.0,402796.8,805593.6,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331410,159442,RUA ARMANDO SANTOS,132,Recreio dos Bandeirantes  ,2,TERRITORIAL,100.0,603.5,771707.515,771707.515,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331411,161315,RUA LEON ELIACHAR,132,Recreio dos Bandeirantes  ,2,TERRITORIAL,100.0,705.0,186156.0,186156.0,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
